Incident_ID,Reporting_Agency,Date_Reported,Time_Reported,Incident_Type,NDRRMC_Hazard_Classification,NDRRMC_Report_Type,Probable_Cause,Severity,Congressional_District,LGU_Type,City_Municipality,Barangay,Latitude,Longitude,Response_Time_Minutes,Units_Deployed,Casualties,Estimated_Damage_PHP,Status
BFP-20240201-2291,BFP,2024-02-01,12:54:28,Fire Incident,Human-Induced Hazard,Incident Report,Smoking / lighted cigarette,Low,Negros Occidental - 3rd District,City,Talisay City,"Zone 16, Bubog",10.753587,122.944985,19,1,0,364627,Resolved
DRRMO-20240201-8942,DRRMO,2024-02-01,15:10:34,Flood/Typhoon,Natural Hazard,Incident Report,Storm surge,Low,Negros Occidental - 3rd District,City,Talisay City,Efigenio Lizares,10.701592,122.959099,27,4,0,0,Resolved
DRRMO-20240202-8929,DRRMO,2024-02-02,00:05:13,Vehicular Accident,Human-Induced Hazard,Incident Report,Multi-vehicle collision,Low,Negros Occidental - 3rd District,City,Talisay City,Efigenio Lizares,10.732955,122.922654,26,1,0,0,Resolved
DRRMO-20240202-3341,DRRMO,2024-02-02,18:44:07,Other Emergency,Human-Induced Hazard,Incident Report,Animal rescue,High,Negros Occidental - 3rd District,City,Talisay City,Efigenio Lizares,10.69161,122.951369,8,4,1,0,Resolved
DRRMO-20240203-9404,DRRMO,2024-02-03,19:09:43,Vehicular Accident,Human-Induced Hazard,Incident Report,Pedestrian hit,Low,Negros Occidental - 3rd District,City,Talisay City,San Sebastian,10.77065,122.957201,14,4,0,0,Resolved
DRRMO-20240206-0161,DRRMO,2024-02-06,11:26:51,Other Emergency,Human-Induced Hazard,Incident Report,Animal rescue,Low,Negros Occidental - 3rd District,City,Talisay City,"Zone 16, Bubog",10.751201,122.926557,11,1,0,0,Ongoing
BFP-20240208-9734,BFP,2024-02-08,01:23:53,Fire Incident,Human-Induced Hazard,Incident Report,Candle / lighted lamp,Low,Negros Occidental - 3rd District,City,Talisay City,Katilingban,10.696522,123.006425,4,3,0,947732,Resolved
BFP-20240210-0383,BFP,2024-02-10,02:40:36,Other Emergency,Human-Induced Hazard,Incident Report,Animal rescue,Critical,Negros Occidental - 3rd District,City,Talisay City,Zone 20,10.743291,122.970293,14,2,0,0,Resolved
DRRMO-20240210-0275,DRRMO,2024-02-10,12:27:44,Other Emergency,Human-Induced Hazard,Incident Report,Power line hazard,Low,Negros Occidental - 3rd District,City,Talisay City,Cabatangan,10.703331,122.968951,9,1,0,0,Resolved
DRRMO-20240210-9820,DRRMO,2024-02-10,18:09:03,Flood/Typhoon,Natural Hazard,Incident Report,River overflow (Imbang/Malijao river system),Low,Negros Occidental - 3rd District,City,Talisay City,Dos Hermanas,10.711952,122.938004,3,2,1,1075089,Closed
BFP-20240214-0511,BFP,2024-02-14,23:50:58,Fire Incident,Human-Induced Hazard,Incident Report,Unattended cooking / open flame,High,Negros Occidental - 3rd District,City,Talisay City,Zone 19,10.746007,122.950163,19,1,0,1289972,Ongoing
DRRMO-20240216-6228,DRRMO,2024-02-16,21:14:49,Medical Emergency,Human-Induced Hazard,Incident Report,Fall/physical injury,Low,Negros Occidental - 3rd District,City,Talisay City,Katilingban,10.773744,123.005532,14,3,1,0,Resolved
BFP-20240217-9656,BFP,2024-02-17,20:53:43,Fire Incident,Human-Induced Hazard,Incident Report,Electrical short circuit,Critical,Negros Occidental - 3rd District,City,Talisay City,Zone 20,10.700474,123.009175,29,2,0,869207,Resolved
DRRMO-20240218-2445,DRRMO,2024-02-18,11:41:42,Chemical Leak,Human-Induced Hazard,Incident Report,Gas leak (non-fire),Low,Negros Occidental - 3rd District,City,Talisay City,San Isidro,10.756793,122.951873,8,4,0,0,Ongoing
DRRMO-20240223-9017,DRRMO,2024-02-23,03:26:21,Vehicular Accident,Human-Induced Hazard,Incident Report,Pedestrian hit,High,Negros Occidental - 3rd District,City,Talisay City,Bulanon,10.730154,122.988119,24,2,0,0,Resolved
BFP-20240224-9759,BFP,2024-02-24,03:27:14,Fire Incident,Human-Induced Hazard,Incident Report,Electrical ignition/faulty wiring,High,Negros Occidental - 3rd District,City,Talisay City,Zone 19,10.696462,122.980517,25,1,0,0,Ongoing
DRRMO-20240224-0191,DRRMO,2024-02-24,20:25:46,Vehicular Accident,Human-Induced Hazard,Incident Report,Vehicle overturned,High,Negros Occidental - 3rd District,City,Talisay City,San Isidro,10.731705,122.993388,11,1,0,0,Resolved
DRRMO-20240224-4106,DRRMO,2024-02-24,21:03:12,Other Emergency,Human-Induced Hazard,Incident Report,Animal rescue,Critical,Negros Occidental - 3rd District,City,Talisay City,Katilingban,10.753766,122.936094,19,1,1,0,Closed
BFP-20240225-1791,BFP,2024-02-25,21:41:41,Fire Incident,Human-Induced Hazard,Incident Report,Electrical short circuit,Critical,Negros Occidental - 3rd District,City,Talisay City,Concepcion,10.695152,122.992821,6,4,0,1528982,Resolved
DRRMO-20240302-4257,DRRMO,2024-03-02,06:52:16,Other Emergency,Human-Induced Hazard,Incident Report,False alarm / unverified report,High,Negros Occidental - 3rd District,City,Talisay City,San Sebastian,10.761313,122.92963,15,1,0,0,Resolved
DRRMO-20240307-0364,DRRMO,2024-03-07,11:47:42,Infrastructure Damage,Natural Hazard,Incident Report,Road washout/damage,Low,Negros Occidental - 3rd District,City,Talisay City,Dos Hermanas,10.733402,122.929712,7,1,0,5120,Resolved
BFP-20240307-9222,BFP,2024-03-07,12:31:04,Fire Incident,Human-Induced Hazard,Incident Report,Arson (under investigation),High,Negros Occidental - 3rd District,City,Talisay City,Zone 20,10.743503,122.925361,4,3,0,1724101,Resolved
BFP-20240308-9788,BFP,2024-03-08,04:17:39,Fire Incident,Human-Induced Hazard,Incident Report,LPG tank leak,Low,Negros Occidental - 3rd District,City,Talisay City,Matab-ang,10.739756,122.991215,17,1,0,311078,Resolved
DRRMO-20240310-0368,DRRMO,2024-03-10,01:15:32,Landslide,Natural Hazard,Incident Report,Slope erosion,Low,Negros Occidental - 3rd District,City,Talisay City,Efigenio Lizares,10.729368,122.955845,8,1,0,19047,Resolved
BFP-20240317-5433,BFP,2024-03-17,00:04:12,Fire Incident,Human-Induced Hazard,Incident Report,Electrical short circuit,Critical,Negros Occidental - 3rd District,City,Talisay City,Matab-ang,10.727692,122.932879,23,1,0,1704454,Resolved
DRRMO-20240317-2475,DRRMO,2024-03-17,21:03:48,Flood/Typhoon,Natural Hazard,Incident Report,Typhoon/tropical storm rainfall,High,Negros Occidental - 3rd District,City,Talisay City,Cabatangan,10.725053,123.004254,20,1,0,0,Resolved
DRRMO-20240317-4328,DRRMO,2024-03-17,23:46:06,Flood/Typhoon,Natural Hazard,Incident Report,River overflow (Imbang/Malijao river system),Low,Negros Occidental - 3rd District,City,Talisay City,Katilingban,10.744769,122.965675,6,4,1,0,Resolved
DRRMO-20240321-9364,DRRMO,2024-03-21,12:57:54,Flood/Typhoon,Natural Hazard,Incident Report,Heavy monsoon rain,Low,Negros Occidental - 3rd District,City,Talisay City,Bulanon,10.692952,122.977122,20,4,0,626738,Resolved
DRRMO-20240323-0410,DRRMO,2024-03-23,04:04:52,Other Emergency,Human-Induced Hazard,Incident Report,Animal rescue,Low,Negros Occidental - 3rd District,City,Talisay City,Concepcion,10.79084,122.973707,12,1,0,0,Resolved
BFP-20240331-0077,BFP,2024-03-31,04:39:27,Fire Incident,Human-Induced Hazard,Incident Report,Unknown/undetermined,Low,Negros Occidental - 3rd District,City,Talisay City,Matab-ang,10.7265,122.962903,21,2,0,0,Ongoing
DRRMO-20240331-0072,DRRMO,2024-03-31,06:00:08,Vehicular Accident,Human-Induced Hazard,Incident Report,Multi-vehicle collision,Critical,Negros Occidental - 3rd District,City,Talisay City,McKinley Baybay,10.746911,122.943076,10,2,4,0,Resolved
BFP-20240331-0180,BFP,2024-03-31,07:39:29,Other Emergency,Human-Induced Hazard,Incident Report,Water rescue (non-flood),High,Negros Occidental - 3rd District,City,Talisay City,Cabatangan,10.712479,123.011563,11,2,0,0,Closed
BFP-20240401-0984,BFP,2024-04-01,07:10:31,Fire Incident,Human-Induced Hazard,Incident Report,Arson (under investigation),Low,Negros Occidental - 3rd District,City,Talisay City,Concepcion,10.748305,122.953842,4,4,0,1616478,Resolved
DRRMO-20240405-9069,DRRMO,2024-04-05,09:14:25,Vehicular Accident,Human-Induced Hazard,Incident Report,Motorcycle self-accident,High,Negros Occidental - 3rd District,City,Talisay City,Bulanon,10.710681,122.986396,18,4,0,0,Resolved
DRRMO-20240405-5143,DRRMO,2024-04-05,12:43:47,Vehicular Accident,Human-Induced Hazard,Incident Report,Multi-vehicle collision,Low,Negros Occidental - 3rd District,City,Talisay City,Zone 19,10.719069,122.975455,25,3,0,0,Resolved
DRRMO-20240410-0138,DRRMO,2024-04-10,16:58:20,Other Emergency,Human-Induced Hazard,Incident Report,Animal rescue,Low,Negros Occidental - 3rd District,City,Talisay City,"Zone 16, Bubog",10.724054,122.964356,3,1,0,0,Resolved
DRRMO-20240413-0076,DRRMO,2024-04-13,15:40:38,Flood/Typhoon,Natural Hazard,Incident Report,River overflow (Imbang/Malijao river system),Low,Negros Occidental - 3rd District,City,Talisay City,Katilingban,10.798171,122.940829,10,1,0,8111,Resolved
BFP-20240416-4054,BFP,2024-04-16,08:39:09,Fire Incident,Human-Induced Hazard,Incident Report,Unattended cooking / open flame,Critical,Negros Occidental - 3rd District,City,Talisay City,Concepcion,10.745661,123.008547,4,1,0,174590,Resolved
DRRMO-20240417-1526,DRRMO,2024-04-17,02:21:10,Vehicular Accident,Human-Induced Hazard,Incident Report,Vehicle overturned,High,Negros Occidental - 3rd District,City,Talisay City,San Isidro,10.703677,122.9275,3,3,0,0,Resolved
BFP-20240420-0247,BFP,2024-04-20,17:01:50,Other Emergency,Human-Induced Hazard,Incident Report,Animal rescue,Low,Negros Occidental - 3rd District,City,Talisay City,"Zone 16, Bubog",10.750392,122.933984,8,1,0,0,Closed
BFP-20240420-0324,BFP,2024-04-20,17:14:32,Chemical Leak,Human-Induced Hazard,Incident Report,Fuel spill,Low,Negros Occidental - 3rd District,City,Talisay City,Cabatangan,10.751086,122.966455,9,1,0,0,Resolved
DRRMO-20240423-0068,DRRMO,2024-04-23,07:39:57,Infrastructure Damage,Natural Hazard,Incident Report,Collapsed structure,Low,Negros Occidental - 3rd District,City,Talisay City,Efigenio Lizares,10.725389,122.964825,6,2,0,26073,Resolved
DRRMO-20240426-0271,DRRMO,2024-04-26,11:08:00,Flood/Typhoon,Natural Hazard,Incident Report,River overflow (Imbang/Malijao river system),Critical,Negros Occidental - 3rd District,City,Talisay City,San Sebastian,10.727015,122.974009,11,2,1,982803,Resolved
DRRMO-20240426-5054,DRRMO,2024-04-26,11:27:07,Vehicular Accident,Human-Induced Hazard,Incident Report,Head-on collision,High,Negros Occidental - 3rd District,City,Talisay City,Katilingban,10.747649,122.979313,11,2,0,0,Resolved
BFP-20240428-6771,BFP,2024-04-28,12:55:32,Fire Incident,Human-Induced Hazard,Incident Report,Smoking / lighted cigarette,High,Negros Occidental - 3rd District,City,Talisay City,Zone 19,10.77399,122.985766,15,1,0,677954,Resolved
BFP-20240430-8048,BFP,2024-04-30,08:49:16,Fire Incident,Human-Induced Hazard,Incident Report,LPG tank leak,Low,Negros Occidental - 3rd District,City,Talisay City,Bulanon,10.727933,123.019637,3,2,0,1177913,False Alarm
DRRMO-20240501-1190,DRRMO,2024-05-01,17:00:41,Other Emergency,Human-Induced Hazard,Incident Report,Search and rescue,Low,Negros Occidental - 3rd District,City,Talisay City,Bulanon,10.74256,122.995596,13,1,0,0,Resolved
DRRMO-20240502-6569,DRRMO,2024-05-02,16:43:57,Other Emergency,Human-Induced Hazard,Incident Report,Water rescue (non-flood),Low,Negros Occidental - 3rd District,City,Talisay City,Cabatangan,10.705244,123.000434,11,1,0,0,Resolved
DRRMO-20240507-4845,DRRMO,2024-05-07,23:57:19,Vehicular Accident,Human-Induced Hazard,Incident Report,Multi-vehicle collision,Critical,Negros Occidental - 3rd District,City,Talisay City,"Zone 16, Bubog",10.716289,122.960839,22,3,0,0,Ongoing
BFP-20240509-9750,BFP,2024-05-09,01:27:05,Vehicular Accident,Human-Induced Hazard,Incident Report,Pedestrian hit,Low,Negros Occidental - 3rd District,City,Talisay City,Matab-ang,10.727008,123.019727,8,2,0,0,Ongoing
BFP-20240509-8043,BFP,2024-05-09,08:02:03,Medical Emergency,Human-Induced Hazard,Incident Report,Stroke/seizure,Low,Negros Occidental - 3rd District,City,Talisay City,"Zone 16, Bubog",10.714832,123.014409,12,1,0,0,Resolved
BFP-20240514-0859,BFP,2024-05-14,00:22:50,Fire Incident,Human-Induced Hazard,Incident Report,Unknown/undetermined,Critical,Negros Occidental - 3rd District,City,Talisay City,Zone 17,10.710224,122.952377,20,3,0,54064,False Alarm
DRRMO-20240517-6610,DRRMO,2024-05-17,10:57:31,Fire Incident,Human-Induced Hazard,Incident Report,Arson (under investigation),High,Negros Occidental - 3rd District,City,Talisay City,McKinley Baybay,10.75376,122.936488,19,3,0,0,Resolved
DRRMO-20240521-8453,DRRMO,2024-05-21,08:03:41,Flood/Typhoon,Natural Hazard,Incident Report,River overflow (Imbang/Malijao river system),High,Negros Occidental - 3rd District,City,Talisay City,San Sebastian,10.7643,122.975454,16,2,0,0,Resolved
BFP-20240524-4993,BFP,2024-05-24,03:02:00,Fire Incident,Human-Induced Hazard,Incident Report,Arson (under investigation),Critical,Negros Occidental - 3rd District,City,Talisay City,Zone 20,10.740716,122.973715,26,3,0,1164065,Ongoing
BFP-20240524-1389,BFP,2024-05-24,11:19:41,Fire Incident,Human-Induced Hazard,Incident Report,LPG tank leak,High,Negros Occidental - 3rd District,City,Talisay City,Bulanon,10.746281,122.932895,22,2,0,0,Resolved
DRRMO-20240531-0143,DRRMO,2024-05-31,08:47:42,Flood/Typhoon,Natural Hazard,Incident Report,Typhoon/tropical storm rainfall,High,Negros Occidental - 3rd District,City,Talisay City,Katilingban,10.715964,122.967331,9,2,0,255176,Resolved
DRRMO-20240601-8211,DRRMO,2024-06-01,11:25:14,Other Emergency,Human-Induced Hazard,Incident Report,Animal rescue,Low,Negros Occidental - 3rd District,City,Talisay City,Zone 17,10.740116,123.005716,20,4,0,0,Resolved
BFP-20240602-8009,BFP,2024-06-02,05:20:54,Other Emergency,Human-Induced Hazard,Incident Report,Power line hazard,Low,Negros Occidental - 3rd District,City,Talisay City,"Zone 16, Bubog",10.727556,122.98803,19,2,0,0,Closed
DRRMO-20240603-8267,DRRMO,2024-06-03,01:28:06,Flood/Typhoon,Natural Hazard,Incident Report,Heavy monsoon rain,Critical,Negros Occidental - 3rd District,City,Talisay City,Zone 17,10.766426,122.954344,17,2,0,0,Closed
DRRMO-20240604-7184,DRRMO,2024-06-04,01:34:01,Infrastructure Damage,Natural Hazard,Incident Report,Collapsed structure,High,Negros Occidental - 3rd District,City,Talisay City,Dos Hermanas,10.772648,122.948211,20,3,0,45675,Resolved
DRRMO-20240604-2018,DRRMO,2024-06-04,13:39:43,Flood/Typhoon,Natural Hazard,Incident Report,Typhoon/tropical storm rainfall,High,Negros Occidental - 3rd District,City,Talisay City,San Sebastian,10.763097,122.928669,8,4,0,1569233,Resolved
DRRMO-20240605-8525,DRRMO,2024-06-05,06:44:43,Vehicular Accident,Human-Induced Hazard,Incident Report,Pedestrian hit,Low,Negros Occidental - 3rd District,City,Talisay City,Matab-ang,10.690791,122.962087,20,3,0,0,Resolved
DRRMO-20240605-7669,DRRMO,2024-06-05,20:10:50,Fire Incident,Human-Induced Hazard,Incident Report,LPG tank leak,Low,Negros Occidental - 3rd District,City,Talisay City,Matab-ang,10.725884,122.926353,7,4,1,0,Resolved
BFP-20240606-4128,BFP,2024-06-06,00:29:45,Infrastructure Damage,Natural Hazard,Incident Report,Fallen electric post/tree,Critical,Negros Occidental - 3rd District,City,Talisay City,McKinley Baybay,10.69322,122.927325,30,3,0,1443737,Closed
BFP-20240610-0380,BFP,2024-06-10,00:44:43,Chemical Leak,Human-Induced Hazard,Incident Report,Industrial/sugar-mill chemical spill,Critical,Negros Occidental - 3rd District,City,Talisay City,Katilingban,10.718911,122.967974,12,1,0,0,Resolved
BFP-20240610-1744,BFP,2024-06-10,14:00:46,Other Emergency,Human-Induced Hazard,Incident Report,Power line hazard,Low,Negros Occidental - 3rd District,City,Talisay City,Bulanon,10.712388,122.970059,23,3,2,0,Resolved
DRRMO-20240612-0416,DRRMO,2024-06-12,08:10:25,Landslide,Natural Hazard,Incident Report,Quarrying-related instability,High,Negros Occidental - 3rd District,City,Talisay City,Efigenio Lizares,10.738022,122.933252,9,1,2,101184,Resolved
DRRMO-20240612-7542,DRRMO,2024-06-12,22:06:24,Infrastructure Damage,Natural Hazard,Incident Report,Road washout/damage,Critical,Negros Occidental - 3rd District,City,Talisay City,Zone 19,10.693292,122.967069,29,3,0,564532,Resolved
BFP-20240616-2080,BFP,2024-06-16,15:22:33,Fire Incident,Human-Induced Hazard,Incident Report,LPG tank leak,High,Negros Occidental - 3rd District,City,Talisay City,"Zone 16, Bubog",10.756554,122.992077,24,2,2,0,Resolved
BFP-20240618-8721,BFP,2024-06-18,19:08:50,Medical Emergency,Human-Induced Hazard,Incident Report,Snake bite,High,Negros Occidental - 3rd District,City,Talisay City,Efigenio Lizares,10.75915,123.000544,25,3,0,0,Resolved
DRRMO-20240621-1872,DRRMO,2024-06-21,14:36:47,Flood/Typhoon,Natural Hazard,Incident Report,River overflow (Imbang/Malijao river system),High,Negros Occidental - 3rd District,City,Talisay City,Zone 17,10.755103,122.974973,10,3,1,0,Closed
DRRMO-20240621-0178,DRRMO,2024-06-21,15:19:50,Infrastructure Damage,Natural Hazard,Incident Report,Bridge damage,Low,Negros Occidental - 3rd District,City,Talisay City,Efigenio Lizares,10.758145,122.997984,12,1,0,10569,Resolved
DRRMO-20240627-2873,DRRMO,2024-06-27,22:35:44,Other Emergency,Human-Induced Hazard,Incident Report,Search and rescue,Critical,Negros Occidental - 3rd District,City,Talisay City,Zone 20,10.756894,122.942324,16,4,0,0,Resolved
DRRMO-20240630-1481,DRRMO,2024-06-30,15:37:35,Landslide,Natural Hazard,Incident Report,Quarrying-related instability,Low,Negros Occidental - 3rd District,City,Talisay City,McKinley Baybay,10.719261,123.003765,7,1,0,940146,Resolved
DRRMO-20240702-5879,DRRMO,2024-07-02,18:36:42,Flood/Typhoon,Natural Hazard,Incident Report,Storm surge,High,Negros Occidental - 3rd District,City,Talisay City,Zone 19,10.772258,122.993592,28,2,0,333913,Closed
DRRMO-20240704-5461,DRRMO,2024-07-04,18:27:40,Other Emergency,Human-Induced Hazard,Incident Report,Search and rescue,High,Negros Occidental - 3rd District,City,Talisay City,Zone 19,10.731797,122.929124,19,4,0,0,Resolved
BFP-20240707-1312,BFP,2024-07-07,00:08:46,Vehicular Accident,Human-Induced Hazard,Incident Report,Multi-vehicle collision,High,Negros Occidental - 3rd District,City,Talisay City,Efigenio Lizares,10.746272,123.014044,26,4,0,0,Ongoing
BFP-20240708-0137,BFP,2024-07-08,14:43:55,Fire Incident,Human-Induced Hazard,Incident Report,Smoking / lighted cigarette,High,Negros Occidental - 3rd District,City,Talisay City,McKinley Baybay,10.716392,122.977417,10,1,0,201486,Resolved
DRRMO-20240709-1205,DRRMO,2024-07-09,21:37:42,Flood/Typhoon,Natural Hazard,Incident Report,Clogged drainage/canal overflow,Critical,Negros Occidental - 3rd District,City,Talisay City,San Isidro,10.697284,122.981862,10,3,0,0,Resolved
DRRMO-20240711-0326,DRRMO,2024-07-11,16:20:03,Medical Emergency,Human-Induced Hazard,Incident Report,Drowning,Low,Negros Occidental - 3rd District,City,Talisay City,Katilingban,10.729253,122.982447,19,1,0,0,Resolved
BFP-20240712-0360,BFP,2024-07-12,19:10:46,Fire Incident,Human-Induced Hazard,Incident Report,LPG tank leak,Low,Negros Occidental - 3rd District,City,Talisay City,McKinley Baybay,10.742474,123.008566,3,1,0,10258,Resolved
DRRMO-20240715-9672,DRRMO,2024-07-15,03:02:36,Flood/Typhoon,Natural Hazard,Incident Report,Clogged drainage/canal overflow,High,Negros Occidental - 3rd District,City,Talisay City,Matab-ang,10.761085,122.985792,7,2,0,1017895,Resolved
DRRMO-20240716-6803,DRRMO,2024-07-16,16:42:15,Infrastructure Damage,Human-Induced Hazard,Incident Report,Fallen electric post/tree,Low,Negros Occidental - 3rd District,City,Talisay City,Zone 20,10.743153,122.93789,16,3,2,402327,Resolved
BFP-20240717-8993,BFP,2024-07-17,03:11:42,Fire Incident,Human-Induced Hazard,Incident Report,Electrical short circuit,High,Negros Occidental - 3rd District,City,Talisay City,Zone 17,10.73822,122.925439,8,2,0,0,Resolved
DRRMO-20240720-8310,DRRMO,2024-07-20,08:46:56,Flood/Typhoon,Natural Hazard,Situational Report,Storm surge,Low,Negros Occidental - 3rd District,City,Talisay City,Matab-ang,10.696499,122.92754,5,3,0,1129563,Resolved
BFP-20240720-0384,BFP,2024-07-20,22:43:08,Other Emergency,Human-Induced Hazard,Incident Report,Water rescue (non-flood),Low,Negros Occidental - 3rd District,City,Talisay City,"Zone 16, Bubog",10.707521,122.886818,3,1,0,0,Resolved
DRRMO-20240722-7114,DRRMO,2024-07-22,11:56:03,Flood/Typhoon,Natural Hazard,Incident Report,Storm surge,High,Negros Occidental - 3rd District,City,Talisay City,Zone 19,10.746669,123.017327,20,1,0,0,Closed
BFP-20240723-8981,BFP,2024-07-23,08:53:33,Fire Incident,Human-Induced Hazard,Incident Report,LPG tank leak,Low,Negros Occidental - 3rd District,City,Talisay City,Efigenio Lizares,10.720423,122.960976,6,3,1,1277169,Resolved
BFP-20240724-0378,BFP,2024-07-24,02:50:16,Fire Incident,Human-Induced Hazard,Incident Report,Unattended cooking / open flame,High,Negros Occidental - 3rd District,City,Talisay City,Efigenio Lizares,10.701426,122.934767,10,1,0,202868,Resolved
DRRMO-20240724-1983,DRRMO,2024-07-24,22:19:25,Infrastructure Damage,Natural Hazard,Incident Report,Collapsed structure,Critical,Negros Occidental - 3rd District,City,Talisay City,Matab-ang,10.74524,122.96381,30,1,0,1451757,Resolved
DRRMO-20240726-6026,DRRMO,2024-07-26,19:55:49,Vehicular Accident,Human-Induced Hazard,Incident Report,Head-on collision,Critical,Negros Occidental - 3rd District,City,Talisay City,Zone 19,10.76396,123.002998,13,1,3,0,False Alarm
BFP-20240727-0833,BFP,2024-07-27,21:40:54,Fire Incident,Human-Induced Hazard,Incident Report,Smoking / lighted cigarette,Critical,Negros Occidental - 3rd District,City,Talisay City,Katilingban,10.73296,122.945112,7,3,0,719072,Resolved
DRRMO-20240730-1965,DRRMO,2024-07-30,07:12:53,Flood/Typhoon,Natural Hazard,Incident Report,Typhoon/tropical storm rainfall,High,Negros Occidental - 3rd District,City,Talisay City,Efigenio Lizares,10.761088,122.955603,18,2,0,556595,Closed
BFP-20240801-0159,BFP,2024-08-01,00:34:27,Infrastructure Damage,Natural Hazard,Incident Report,Bridge damage,Critical,Negros Occidental - 3rd District,City,Talisay City,"Zone 16, Bubog",10.711416,122.962374,16,3,1,1892555,Resolved
DRRMO-20240802-0319,DRRMO,2024-08-02,12:07:54,Flood/Typhoon,Natural Hazard,Incident Report,Heavy monsoon rain,Low,Negros Occidental - 3rd District,City,Talisay City,San Isidro,10.70892,122.986278,7,1,0,17807,Closed
BFP-20240805-0045,BFP,2024-08-05,16:55:35,Other Emergency,Human-Induced Hazard,Incident Report,Search and rescue,Low,Negros Occidental - 3rd District,City,Talisay City,Cabatangan,10.707093,122.926713,3,1,0,0,Resolved
DRRMO-20240807-6506,DRRMO,2024-08-07,12:49:35,Other Emergency,Human-Induced Hazard,Incident Report,Search and rescue,High,Negros Occidental - 3rd District,City,Talisay City,Bulanon,10.711598,123.016165,13,2,0,0,Closed
DRRMO-20240810-3114,DRRMO,2024-08-10,15:13:55,Infrastructure Damage,Natural Hazard,Incident Report,Fallen electric post/tree,Low,Negros Occidental - 3rd District,City,Talisay City,McKinley Baybay,10.715771,123.010899,5,1,5,1176994,Resolved
DRRMO-20240815-0234,DRRMO,2024-08-15,15:04:09,Infrastructure Damage,Natural Hazard,Incident Report,Road washout/damage,Low,Negros Occidental - 3rd District,City,Talisay City,Concepcion,10.766231,122.956121,10,2,0,20870,Resolved
BFP-20240816-0315,BFP,2024-08-16,03:37:53,Fire Incident,Human-Induced Hazard,Incident Report,Unknown/undetermined,Low,Negros Occidental - 3rd District,City,Talisay City,San Isidro,10.730914,122.92878,10,1,0,7276,Resolved
DRRMO-20240817-0246,DRRMO,2024-08-17,11:13:26,Fire Incident,Human-Induced Hazard,Incident Report,Electrical short circuit,High,Negros Occidental - 3rd District,City,Talisay City,San Sebastian,10.711925,122.978597,8,2,0,95609,Resolved
BFP-20240817-0329,BFP,2024-08-17,20:37:14,Fire Incident,Human-Induced Hazard,Incident Report,Candle / lighted lamp,High,Negros Occidental - 3rd District,City,Talisay City,Dos Hermanas,10.754659,122.950509,14,2,1,95126,Resolved
